250365
date spi1 spi2
01/01/1962 -0.99 -1.43
02/01/1962 -0.4 -1.06
03/01/1962 -0.14 -0.39
04/01/1962 -0.97 -1.01
05/01/1962 1.45 0.82
06/01/1962 1.99 2.38
07/01/1962 0.71 1.67
08/01/1962 -2.24 -0.21
09/01/1962 0.41 -0.83
10/01/1962 0.35 0.37
11/01/1962 -0.83 -0.1
12/01/1962 0.33 -0.52
01/01/1963 1.09 0.83
02/01/1963 -0.09 0.58
03/01/1963 -0.08 -0.22
04/01/1963 -0.91 -0.93
05/01/1963 -1.98 -2.12
06/01/1963 0.73 -0.6
07/01/1963 -0.3 0.18
08/01/1963 1.67 0.72
09/01/1963 1.82 2.41
10/01/1963 0.25 1.65
11/01/1963 -0.13 0.03
12/01/1963 0.3 -0.1
01/01/1964 -1.24 -0.54
02/01/1964 0.1 -0.73
03/01/1964 -0.47 -0.45
04/01/1964 0.97 0.57
05/01/1964 0.19 0.61
06/01/1964 0.68 0.5
07/01/1964 -0.14 0.25
08/01/1964 -1.48 -1.02
09/01/1964 0.63 -0.31
10/01/1964 -1.72 -0.11
11/01/1964 -0.51 -1.93
12/01/1964 -0.32 -0.81
01/01/1965 0.88 0.36
02/01/1965 0.01 0.47
03/01/1965 -1.12 -0.94
04/01/1965 -0.39 -0.97
05/01/1965 0.16 -0.18
06/01/1965 1.38 1.02
07/01/1965 1.7 1.97
08/01/1965 -0.09 1.59
09/01/1965 1.18 0.87
10/01/1965 0.28 1.03
11/01/1965 -0.78 -0.16
12/01/1965 0.96 0.05
01/01/1966 0.34 0.77
02/01/1966 -0.53 -0.19
03/01/1966 0.74 0.41
04/01/1966 -1.01 -0.37
05/01/1966 -1.82 -2.08
06/01/1966 1.11 -0.17
07/01/1966 0.76 1.12
08/01/1966 0.08 0.63
09/01/1966 0.85 0.62
10/01/1966 -1.52 0.19
11/01/1966 -0.78 -1.89
12/01/1966 -0.12 -0.87
01/01/1967 -0.55 -0.54
02/01/1967 -1.24 -1.34
03/01/1967 -1.12 -1.63
04/01/1967 -0.41 -0.99
05/01/1967 0.57 0.17
06/01/1967 1.86 1.67
07/01/1967 0.7 1.58
08/01/1967 -0.67 0.24
09/01/1967 -0.89 -1.29
10/01/1967 -0.92 -1.4
11/01/1967 -0.05 -0.92
12/01/1967 0.96 0.41
01/01/1968 -1.24 0.14
02/01/1968 0.27 -0.55
03/01/1968 -0.89 -0.63
04/01/1968 -0.45 -0.95
05/01/1968 0.01 -0.33
06/01/1968 -1 -0.76
07/01/1968 -0.15 -0.8
08/01/1968 2.83 1.74
09/01/1968 -1.36 1.55
10/01/1968 -0.57 -1.49
11/01/1968 1.51 0.48
12/01/1968 0.61 1.45
01/01/1969 0.83 0.81
02/01/1969 0.13 0.51
03/01/1969 -1.12 -0.86
04/01/1969 -0.44 -1.01
05/01/1969 0.69 0.27
06/01/1969 0.04 0.45
07/01/1969 1.71 1.31
08/01/1969 -0.64 1.41
09/01/1969 -0.44 -0.95
10/01/1969 1.17 0.3
11/01/1969 -0.51 0.78
12/01/1969 -0.94 -1.18
01/01/1970 0.74 0.03
02/01/1970 -1.31 -0.12
03/01/1970 -0.19 -0.68
04/01/1970 0.36 0.08
05/01/1970 -1.58 -0.9
06/01/1970 0.55 -0.62
07/01/1970 0.29 0.44
08/01/1970 -2 -0.68
09/01/1970 -0.49 -1.79
10/01/1970 -0.5 -0.82
11/01/1970 0.02 -0.55
12/01/1970 0.09 -0.12
01/01/1971 -0.76 -0.48
02/01/1971 0.16 -0.41
03/01/1971 0.37 0.26
04/01/1971 1.13 1.02
05/01/1971 0.87 1.19
06/01/1971 -0.72 0.19
07/01/1971 0.23 -0.34
08/01/1971 0.57 0.38
09/01/1971 0.95 0.98
10/01/1971 0.76 1.03
11/01/1971 0.21 0.61
12/01/1971 0.12 0.06
01/01/1972 0.16 0.07
02/01/1972 -1.24 -0.64
03/01/1972 -0.98 -1.49
04/01/1972 0.27 -0.26
05/01/1972 -0.09 -0.02
06/01/1972 0.41 0.09
07/01/1972 0.71 0.66
08/01/1972 -2 -0.15
09/01/1972 0.33 -0.85
10/01/1972 -0.42 -0.04
11/01/1972 2.39 1.27
12/01/1972 0.54 2.26
01/01/1973 1.07 0.93
02/01/1973 -0.93 0.27
03/01/1973 0.98 0.59
04/01/1973 -0.08 0.39
05/01/1973 0.64 0.38
06/01/1973 -0.34 0.18
07/01/1973 -0.01 -0.32
08/01/1973 -0.37 -0.38
09/01/1973 2.21 1.91
10/01/1973 0.71 2.18
11/01/1973 0.57 0.72
12/01/1973 2.35 1.78
01/01/1974 0.16 1.84
02/01/1974 0.01 -0.02
03/01/1974 -0.21 -0.29
04/01/1974 0.03 -0.22
05/01/1974 -1.26 -0.98
06/01/1974 0.51 -0.52
07/01/1974 -1.47 -0.54
08/01/1974 0.22 -1.15
09/01/1974 -0.78 -0.53
10/01/1974 -0.84 -1.25
11/01/1974 -1.31 -1.47
12/01/1974 -0.62 -1.77
01/01/1975 -0.5 -0.87
02/01/1975 -0.2 -0.58
03/01/1975 1.23 0.96
04/01/1975 -0.6 0.26
05/01/1975 1.07 0.56
06/01/1975 -0.09 0.71
07/01/1975 -1.04 -0.83
08/01/1975 0.6 -0.59
09/01/1975 -1.21 -0.39
10/01/1975 -1.13 -1.8
11/01/1975 1.25 0
12/01/1975 -0.32 0.88
01/01/1976 2.17 1.42
02/01/1976 -0.2 1.38
03/01/1976 -0.75 -0.82
04/01/1976 1.17 0.7
05/01/1976 -0.16 0.52
06/01/1976 -1.78 -1.32
07/01/1976 -0.5 -1.47
08/01/1976 -0.53 -0.94
09/01/1976 -0.35 -0.81
10/01/1976 0.35 -0.21
11/01/1976 -0.92 -0.12
12/01/1976 0.12 -0.75
01/01/1977 -0.41 -0.27
02/01/1977 -0.16 -0.49
03/01/1977 1.6 1.33
04/01/1977 1.46 1.92
05/01/1977 0.67 1.26
06/01/1977 0.83 0.96
07/01/1977 -0.56 0.12
08/01/1977 1.11 0.13
09/01/1977 -1.51 -0.02
10/01/1977 -0.84 -1.8
11/01/1977 0.27 -0.63
12/01/1977 -0.32 -0.1
01/01/1978 0.78 0.29
02/01/1978 1.68 1.53
03/01/1978 -2.06 0.12
04/01/1978 0.23 -0.47
05/01/1978 -0.09 -0.05
06/01/1978 -1.28 -1.01
07/01/1978 0.32 -0.52
08/01/1978 0.85 0.63
09/01/1978 -1.89 -0.34
10/01/1978 -0.92 -2.1
11/01/1978 0.68 -0.37
12/01/1978 1.8 1.45
01/01/1979 1.19 1.82
02/01/1979 -1.31 0.29
03/01/1979 0.82 0.37
04/01/1979 0.5 0.71
05/01/1979 -0.1 0.11
06/01/1979 0.26 -0.03
07/01/1979 1.29 1.04
08/01/1979 -0.1 1.12
09/01/1979 -0.18 -0.39
10/01/1979 0.05 -0.26
11/01/1979 1.6 0.88
12/01/1979 -1.1 1.1
01/01/1980 -0.12 -0.8
02/01/1980 1.27 0.83
03/01/1980 2.28 2.32
04/01/1980 0.23 1.57
05/01/1980 -0.64 -0.44
06/01/1980 0.26 -0.39
07/01/1980 -1.69 -0.83
08/01/1980 0.9 -0.68
09/01/1980 -0.76 0.03
10/01/1980 -1.23 -1.45
11/01/1980 -0.66 -1.55
12/01/1980 -1.19 -1.48
01/01/1981 0.56 -0.19
02/01/1981 -0.2 0.14
03/01/1981 0.4 0.17
04/01/1981 0.06 0.11
05/01/1981 1.71 1.38
06/01/1981 -0.74 1.02
07/01/1981 1.66 0.96
08/01/1981 -0.33 1.46
09/01/1981 -0.62 -0.86
10/01/1981 0.88 0
11/01/1981 -0.41 0.53
12/01/1981 0.66 -0.02
01/01/1982 -0.09 0.33
02/01/1982 -0.49 -0.49
03/01/1982 0.38 0.08
04/01/1982 -0.1 -0.02
05/01/1982 0.61 0.34
06/01/1982 -0.69 -0.04
07/01/1982 -0.14 -0.62
08/01/1982 -0.68 -0.67
09/01/1982 0.23 -0.39
10/01/1982 -0.02 0.04
11/01/1982 0.8 0.28
12/01/1982 0.3 0.67
01/01/1983 -0.6 -0.22
02/01/1983 -0.8 -1.1
03/01/1983 0.76 0.38
04/01/1983 -0.75 -0.2
05/01/1983 1.02 0.46
06/01/1983 1.26 1.52
07/01/1983 0.5 1.04
08/01/1983 -0.26 0.2
09/01/1983 -0.91 -0.98
10/01/1983 -0.3 -1.01
11/01/1983 1.01 0.24
12/01/1983 0.77 1.07
01/01/1984 -0.41 0.27
02/01/1984 0.07 -0.31
03/01/1984 -0.95 -0.8
04/01/1984 0.89 0.38
05/01/1984 -0.17 0.31
06/01/1984 -1.13 -1
07/01/1984 -0.3 -0.98
08/01/1984 -0.38 -0.66
09/01/1984 -1.04 -1.15
10/01/1984 0.35 -0.6
11/01/1984 0.57 0.43
12/01/1984 1.17 0.96
01/01/1985 -0.32 0.65
02/01/1985 -0.8 -0.87
03/01/1985 -1.05 -1.36
04/01/1985 -0.16 -0.71
05/01/1985 0.93 0.59
06/01/1985 -1.82 -0.2
07/01/1985 -0.1 -1.13
08/01/1985 0.65 0.15
09/01/1985 1.04 1.11
10/01/1985 -0.54 0.62
11/01/1985 0.35 -0.37
12/01/1985 1.24 0.85
01/01/1986 -1.24 0.42
02/01/1986 1.64 0.86
03/01/1986 0.09 0.79
04/01/1986 1.26 1.03
05/01/1986 -0.37 0.46
06/01/1986 -0.2 -0.56
07/01/1986 -0.46 -0.56
08/01/1986 -0.36 -0.8
09/01/1986 1.24 0.81
10/01/1986 0.41 1.14
11/01/1986 -0.51 0.05
12/01/1986 -0.51 -0.93
01/01/1987 -1.24 -1.43
02/01/1987 2.44 1.65
03/01/1987 0.94 1.78
04/01/1987 -1 -0.19
05/01/1987 0.86 0.24
06/01/1987 0.14 0.66
07/01/1987 0.24 0.16
08/01/1987 0.86 0.57
09/01/1987 -0.11 0.35
10/01/1987 -0.34 -0.41
11/01/1987 1.87 0.87
12/01/1987 1.97 2.39
01/01/1988 1.49 2.09
02/01/1988 -0.58 0.72
03/01/1988 -0.98 -1.2
04/01/1988 0.61 0.08
05/01/1988 1.69 1.59
06/01/1988 -1.25 0.81
07/01/1988 0.91 0.05
08/01/1988 -0.06 0.72
09/01/1988 0.05 -0.18
10/01/1988 -1.01 -0.54
11/01/1988 -0.38 -1.2
12/01/1988 -1.61 -1.3
01/01/1989 -0.93 -2.08
02/01/1989 0.76 0.08
03/01/1989 -0.23 0.08
04/01/1989 -2.14 -1.94
05/01/1989 -1.78 -2.77
06/01/1989 -1.68 -2.67
07/01/1989 -1.77 -2.38
08/01/1989 0.27 -1.26
09/01/1989 1.12 0.99
10/01/1989 -1.74 0.43
11/01/1989 -1.31 -2.21
12/01/1989 -0.05 -1.14
01/01/1990 0.31 0.07
02/01/1990 -0.87 -0.36
03/01/1990 2.15 1.78
04/01/1990 -0.04 1.31
05/01/1990 1.27 0.94
06/01/1990 -0.64 0.62
07/01/1990 -0.08 -0.54
08/01/1990 -0.05 -0.26
09/01/1990 0.04 -0.18
10/01/1990 -0.42 -0.32
11/01/1990 1.52 0.56
12/01/1990 -0.62 1.09
01/01/1991 -0.76 -1.08
02/01/1991 0.35 -0.24
03/01/1991 0.37 0.33
04/01/1991 -1.17 -0.76
05/01/1991 0.55 -0.11
06/01/1991 -0.16 0.21
07/01/1991 0.42 0.11
08/01/1991 -0.34 0.08
09/01/1991 -0.24 -0.59
10/01/1991 0.28 -0.17
11/01/1991 1.37 0.86
12/01/1991 -0.62 0.94
01/01/1992 1.33 0.63
02/01/1992 1.02 1.35
03/01/1992 2.18 2.16
04/01/1992 -2.21 0.54
05/01/1992 -1.57 -2.7
06/01/1992 0.8 -0.38
07/01/1992 0.94 1.06
08/01/1992 0.46 1.01
09/01/1992 -0.05 0.09
10/01/1992 0.11 -0.13
11/01/1992 -0.23 -0.14
12/01/1992 -0.62 -0.73
01/01/1993 1.05 0.4
02/01/1993 1.92 1.84
03/01/1993 1.37 1.81
04/01/1993 0.48 1.04
05/01/1993 -0.2 0.02
06/01/1993 0.84 0.35
07/01/1993 1.93 1.88
08/01/1993 0.75 2.18
09/01/1993 -0.03 0.31
10/01/1993 0.96 0.39
11/01/1993 1.2 1.24
12/01/1993 -0.05 0.91
01/01/1994 1.4 0.89
02/01/1994 0.3 0.99
03/01/1994 -0.86 -0.6
04/01/1994 -0.47 -0.96
05/01/1994 -1.39 -1.42
06/01/1994 -0.21 -1.22
07/01/1994 1.62 1.13
08/01/1994 -2.24 0.95
09/01/1994 -0.35 -1.75
10/01/1994 2.39 1.26
11/01/1994 0.37 2.18
12/01/1994 0.86 0.62
01/01/1995 0.28 0.66
02/01/1995 -0.31 -0.12
03/01/1995 0.63 0.35
04/01/1995 0.92 0.95
05/01/1995 1.14 1.29
06/01/1995 0.15 0.91
07/01/1995 0.29 0.19
08/01/1995 -0.21 0.01
09/01/1995 0.22 -0.13
10/01/1995 1.22 0.73
11/01/1995 -0.78 0.78
12/01/1995 -1.61 -1.91
01/01/1996 -0.93 -2.08
02/01/1996 -1.31 -1.83
03/01/1996 -1.01 -1.56
04/01/1996 -0.79 -1.32
05/01/1996 0.63 0.09
06/01/1996 -0.93 -0.14
07/01/1996 -1.32 -1.59
08/01/1996 1.4 -0.08
09/01/1996 1.29 1.77
10/01/1996 0.26 1.14
11/01/1996 0.17 0.16
12/01/1996 -0.74 -0.36
01/01/1997 -1.24 -1.71
02/01/1997 0.32 -0.49
03/01/1997 -1.71 -0.96
04/01/1997 -0.79 -1.52
05/01/1997 -0.79 -1.17
06/01/1997 -0.27 -0.92
07/01/1997 -0.96 -0.91
08/01/1997 0.27 -0.79
09/01/1997 0.94 0.8
10/01/1997 1.17 1.22
11/01/1997 -1.26 0.66
12/01/1997 0.66 -0.4
01/01/1998 0.12 0.43
02/01/1998 -0.2 -0.17
03/01/1998 0.45 0.22
04/01/1998 -0.77 -0.45
05/01/1998 1.08 0.52
06/01/1998 0.3 0.95
07/01/1998 0.61 0.52
08/01/1998 -0.37 0.27
09/01/1998 -0.69 -0.94
10/01/1998 1.35 0.32
11/01/1998 2.18 2.1
12/01/1998 -1.28 1.71
01/01/1999 -0.93 -1.79
02/01/1999 -0.02 -0.67
03/01/1999 -0.19 -0.29
04/01/1999 1.95 1.61
05/01/1999 -0.65 0.87
06/01/1999 0.05 -0.56
07/01/1999 -0.27 -0.26
08/01/1999 0.95 0.22
09/01/1999 0.36 0.73
10/01/1999 -1.74 -0.45
11/01/1999 -0.26 -1.81
12/01/1999 -1.61 -1.14
01/01/2000 0.25 -0.6
02/01/2000 0.32 0.25
03/01/2000 1.11 0.98
04/01/2000 -1.33 -0.19
05/01/2000 0.16 -0.54
06/01/2000 -1.17 -0.72
07/01/2000 -1.02 -1.55
08/01/2000 -1.93 -2.18
09/01/2000 0.32 -0.84
10/01/2000 2.15 1.4
11/01/2000 -0.08 1.84
12/01/2000 -1.19 -0.78
01/01/2001 0.34 -0.4
02/01/2001 0.04 0.12
03/01/2001 -1.05 -0.88
04/01/2001 1.26 0.74
05/01/2001 -0.25 0.53
06/01/2001 -1.44 -1.25
07/01/2001 1.22 0.29
08/01/2001 0.15 1.15
09/01/2001 1.8 1.64
10/01/2001 -0.61 1.4
11/01/2001 0.98 0.04
12/01/2001 -1.61 0.35
01/01/2002 -0.5 -1.43
02/01/2002 -1.31 -1.34
03/01/2002 -0.45 -0.96
04/01/2002 0.03 -0.33
05/01/2002 -1.95 -1.34
06/01/2002 -1.88 -2.94
07/01/2002 -0.46 -1.48
08/01/2002 1.28 0.32
09/01/2002 -0.11 0.66
10/01/2002 0.35 -0.04
11/01/2002 -1.03 -0.14
12/01/2002 -0.56 -1.44
01/01/2003 0.12 -0.34
02/01/2003 0.82 0.55
03/01/2003 0.25 0.44
04/01/2003 0.36 0.29
05/01/2003 0.36 0.37
06/01/2003 -0.1 0.08
07/01/2003 0.25 0.01
08/01/2003 -1.61 -0.61
09/01/2003 -0.66 -1.75
10/01/2003 -0.49 -0.94
11/01/2003 -0.21 -0.66
12/01/2003 -0.74 -0.75
01/01/2004 -0.41 -0.87
02/01/2004 0.45 0
03/01/2004 0.63 0.59
04/01/2004 1 1.02
05/01/2004 -0.78 0.03
06/01/2004 0.28 -0.47
07/01/2004 1 0.81
08/01/2004 -0.82 0.52
09/01/2004 1.16 0.54
10/01/2004 0.75 1.21
11/01/2004 0.57 0.76
12/01/2004 -1.39 -0.08
01/01/2005 0.61 -0.19
02/01/2005 -0.12 0.22
03/01/2005 0.18 -0.01
04/01/2005 0.87 0.7
05/01/2005 -1.02 -0.2
06/01/2005 2.07 1.05
07/01/2005 -0.86 0.98
08/01/2005 1.17 -0.02
09/01/2005 -1.85 -0.04
10/01/2005 0.49 -0.77
11/01/2005 -0.05 0.27
12/01/2005 0.51 0.1
01/01/2006 0.69 0.66
02/01/2006 0.19 0.44
03/01/2006 0.58 0.45
04/01/2006 0.12 0.27
05/01/2006 -1.85 -1.22
06/01/2006 0.31 -0.96
07/01/2006 -0.87 -0.43
08/01/2006 0.93 -0.22
09/01/2006 0.95 1.19
10/01/2006 -0.15 0.66
11/01/2006 -1.31 -0.74
12/01/2006 1.87 0.72
01/01/2007 0.64 1.61
02/01/2007 0.43 0.55
03/01/2007 1.64 1.5
04/01/2007 1.53 2
05/01/2007 0.7 1.32
06/01/2007 0.74 0.92
07/01/2007 0.34 0.6
08/01/2007 1.91 1.36
09/01/2007 -0.31 1.06
10/01/2007 0.79 0.11
11/01/2007 -1.14 0.28
12/01/2007 1.34 0.27
01/01/2008 -1.21 0.53
02/01/2008 -1.31 -2.18
03/01/2008 -0.98 -1.52
04/01/2008 1.11 0.59
05/01/2008 0.93 1.23
06/01/2008 -0.36 0.44
07/01/2008 -0.2 -0.47
08/01/2008 -0.57 -0.67
09/01/2008 0.87 0.32
10/01/2008 1.02 1.09
11/01/2008 0.31 0.89
