Sample Station, USA
09/01/1936 -1.51 -1.51 -1.51
10/01/1936 -1.51 -1.51 -1.51
11/01/1936 -1.51 -1.51 -1.51
12/01/1936 -1.51 -1.51 -1.51
01/01/1937 -1.47 -1.51 -1.51
02/01/1937 -1.47 -1.47 -1.51
03/01/1937 -1.46 -1.46 -1.46
04/01/1937 -1.46 -1.46 -1.46
05/01/1937 -1.46 -1.46 -1.46
06/01/1937 -1.46 -1.46 -1.46
07/01/1937 -1.46 -1.46 -1.46
08/01/1937 -1.46 -1.46 -1.46
09/01/1937 -1.46 -1.46 -1.46
10/01/1937 -1.46 -1.46 -1.46
11/01/1937 -1.46 -1.46 -1.46
12/01/1937 -1.46 -1.46 -1.46
01/01/1938 -1.42 -1.46 -1.46
02/01/1938 -1.42 -1.42 -1.46
03/01/1938 -1.42 -1.42 -1.42
04/01/1938 -1.42 -1.42 -1.42
05/01/1938 -1.42 -1.42 -1.42
06/01/1938 -1.42 -1.42 -1.42
07/01/1938 -1.42 -1.42 -1.42
08/01/1938 -1.42 -1.42 -1.42
09/01/1938 -1.42 -1.42 -1.42
10/01/1938 -1.42 -1.42 -1.42
11/01/1938 -1.42 -1.42 -1.42
12/01/1938 -1.42 -1.42 -1.42
01/01/1939 -1.37 -1.42 -1.42
02/01/1939 -1.37 -1.37 -1.42
03/01/1939 -1.37 -1.37 -1.37
04/01/1939 -1.37 -1.37 -1.37
05/01/1939 -1.37 -1.37 -1.37
06/01/1939 -1.37 -1.37 -1.37
07/01/1939 -1.37 -1.37 -1.37
08/01/1939 -1.37 -1.37 -1.37
09/01/1939 -1.37 -1.37 -1.37
10/01/1939 -1.37 -1.37 -1.37
11/01/1939 -1.37 -1.37 -1.37
12/01/1939 -1.37 -1.37 -1.37
01/01/1940 -1.33 -1.37 -1.37
02/01/1940 -1.33 -1.33 -1.37
03/01/1940 -1.33 -1.33 -1.33
04/01/1940 -1.33 -1.33 -1.33
05/01/1940 -1.33 -1.33 -1.33
06/01/1940 -1.33 -1.33 -1.33
07/01/1940 -1.33 -1.33 -1.33
08/01/1940 -1.33 -1.33 -1.33
09/01/1940 -1.33 -1.33 -1.33
10/01/1940 -1.33 -1.33 -1.33
11/01/1940 -1.33 -1.33 -1.33
12/01/1940 -1.33 -1.33 -1.33
01/01/1941 -1.28 -1.33 -1.33
02/01/1941 -1.28 -1.28 -1.33
03/01/1941 -1.28 -1.28 -1.28
04/01/1941 -1.28 -1.28 -1.28
05/01/1941 -1.28 -1.28 -1.28
06/01/1941 -1.28 -1.28 -1.28
07/01/1941 -1.28 -1.28 -1.28
08/01/1941 -1.28 -1.28 -1.28
09/01/1941 -1.28 -1.28 -1.28
10/01/1941 -1.28 -1.28 -1.28
11/01/1941 -1.28 -1.28 -1.28
12/01/1941 -1.28 -1.28 -1.28
01/01/1942 -1.24 -1.28 -1.28
02/01/1942 -1.24 -1.24 -1.28
03/01/1942 -1.24 -1.24 -1.24
04/01/1942 -1.24 -1.24 -1.24
05/01/1942 -1.24 -1.24 -1.24
06/01/1942 -1.24 -1.24 -1.24
07/01/1942 -1.24 -1.24 -1.24
08/01/1942 -1.24 -1.24 -1.24
09/01/1942 -1.24 -1.24 -1.24
10/01/1942 -1.24 -1.24 -1.24
11/01/1942 -1.24 -1.24 -1.24
12/01/1942 -1.24 -1.24 -1.24
01/01/1943 -1.2 -1.24 -1.24
02/01/1943 -1.2 -1.2 -1.24
03/01/1943 -1.19 -1.19 -1.19
04/01/1943 -1.19 -1.19 -1.19
05/01/1943 -1.19 -1.19 -1.19
06/01/1943 -1.19 -1.19 -1.19
07/01/1943 -1.19 -1.19 -1.19
08/01/1943 -1.19 -1.19 -1.19
09/01/1943 -1.19 -1.19 -1.19
10/01/1943 -1.19 -1.19 -1.19
11/01/1943 -1.19 -1.19 -1.19
12/01/1943 -1.19 -1.19 -1.19
01/01/1944 -1.15 -1.19 -1.19
02/01/1944 -1.15 -1.15 -1.19
03/01/1944 -1.15 -1.15 -1.15
04/01/1944 -1.15 -1.15 -1.15
05/01/1944 -1.15 -1.15 -1.15
06/01/1944 -1.15 -1.15 -1.15
07/01/1944 -1.15 -1.15 -1.15
08/01/1944 -1.15 -1.15 -1.15
09/01/1944 -1.15 -1.15 -1.15
10/01/1944 -1.15 -1.15 -1.15
11/01/1944 -1.15 -1.15 -1.15
12/01/1944 -1.15 -1.15 -1.15
01/01/1945 -1.11 -1.15 -1.15
02/01/1945 -1.11 -1.11 -1.15
03/01/1945 -1.1 -1.1 -1.1
04/01/1945 -1.1 -1.1 -1.1
05/01/1945 -1.1 -1.1 -1.1
06/01/1945 -1.1 -1.1 -1.1
07/01/1945 -1.1 -1.1 -1.1
08/01/1945 -1.1 -1.1 -1.1
09/01/1945 -1.1 -1.1 -1.1
10/01/1945 -1.1 -1.1 -1.1
11/01/1945 -1.1 -1.1 -1.1
12/01/1945 -1.1 -1.1 -1.1
01/01/1946 -1.07 -1.1 -1.1
02/01/1946 -1.07 -1.07 -1.1
03/01/1946 -1.06 -1.06 -1.06
04/01/1946 -1.06 -1.06 -1.06
05/01/1946 -1.06 -1.06 -1.06
06/01/1946 -1.06 -1.06 -1.06
07/01/1946 -1.06 -1.06 -1.06
08/01/1946 -1.06 -1.06 -1.06
09/01/1946 -1.06 -1.06 -1.06
10/01/1946 -1.06 -1.06 -1.06
11/01/1946 -1.06 -1.06 -1.06
12/01/1946 -1.06 -1.06 -1.06
01/01/1947 -1.02 -1.06 -1.06
02/01/1947 -1.02 -1.02 -1.06
03/01/1947 -1.02 -1.02 -1.02
04/01/1947 -1.02 -1.02 -1.02
05/01/1947 -1.02 -1.02 -1.02
06/01/1947 -1.02 -1.02 -1.02
07/01/1947 -1.02 -1.02 -1.02
08/01/1947 -1.02 -1.02 -1.02
09/01/1947 -1.02 -1.02 -1.02
10/01/1947 -1.02 -1.02 -1.02
11/01/1947 -1.02 -1.02 -1.02
12/01/1947 -1.02 -1.02 -1.02
01/01/1948 -0.98 -1.02 -1.02
02/01/1948 -0.98 -0.98 -1.02
03/01/1948 -0.97 -0.97 -0.97
04/01/1948 -0.97 -0.97 -0.97
05/01/1948 -0.97 -0.97 -0.97
06/01/1948 -0.97 -0.97 -0.97
07/01/1948 -0.97 -0.97 -0.97
08/01/1948 -0.97 -0.97 -0.97
09/01/1948 -0.97 -0.97 -0.97
10/01/1948 -0.97 -0.97 -0.97
11/01/1948 -0.97 -0.97 -0.97
12/01/1948 -0.97 -0.97 -0.97
01/01/1949 -0.94 -0.97 -0.97
02/01/1949 -0.94 -0.94 -0.97
03/01/1949 -0.93 -0.93 -0.93
04/01/1949 -0.93 -0.93 -0.93
05/01/1949 -0.93 -0.93 -0.93
06/01/1949 -0.93 -0.93 -0.93
07/01/1949 -0.93 -0.93 -0.93
08/01/1949 -0.93 -0.93 -0.93
09/01/1949 -0.93 -0.93 -0.93
10/01/1949 -0.93 -0.93 -0.93
11/01/1949 -0.93 -0.93 -0.93
12/01/1949 -0.93 -0.93 -0.93
01/01/1950 -0.9 -0.93 -0.93
02/01/1950 -0.9 -0.9 -0.93
03/01/1950 -0.89 -0.89 -0.89
04/01/1950 -0.89 -0.89 -0.89
05/01/1950 -0.89 -0.89 -0.89
06/01/1950 -0.89 -0.89 -0.89
07/01/1950 -0.89 -0.89 -0.89
08/01/1950 -0.89 -0.89 -0.89
09/01/1950 -0.89 -0.89 -0.89
10/01/1950 -0.89 -0.89 -0.89
11/01/1950 -0.89 -0.89 -0.89
12/01/1950 -0.89 -0.89 -0.89
01/01/1951 -0.86 -0.89 -0.89
02/01/1951 -0.86 -0.86 -0.89
03/01/1951 -0.85 -0.85 -0.85
04/01/1951 -0.85 -0.85 -0.85
05/01/1951 -0.85 -0.85 -0.85
06/01/1951 -0.85 -0.85 -0.85
07/01/1951 -0.85 -0.85 -0.85
08/01/1951 -0.85 -0.85 -0.85
09/01/1951 -0.85 -0.85 -0.85
10/01/1951 -0.85 -0.85 -0.85
11/01/1951 -0.85 -0.85 -0.85
12/01/1951 -0.85 -0.85 -0.85
01/01/1952 -0.82 -0.85 -0.85
02/01/1952 -0.82 -0.82 -0.85
03/01/1952 -0.81 -0.81 -0.81
04/01/1952 -0.81 -0.81 -0.81
05/01/1952 -0.81 -0.81 -0.81
06/01/1952 -0.81 -0.81 -0.81
07/01/1952 -0.81 -0.81 -0.81
08/01/1952 -0.81 -0.81 -0.81
09/01/1952 -0.81 -0.81 -0.81
10/01/1952 -0.81 -0.81 -0.81
11/01/1952 -0.81 -0.81 -0.81
12/01/1952 -0.81 -0.81 -0.81
01/01/1953 -0.78 -0.81 -0.81
02/01/1953 -0.78 -0.78 -0.81
03/01/1953 -0.77 -0.77 -0.77
04/01/1953 -0.77 -0.77 -0.77
05/01/1953 -0.77 -0.77 -0.77
06/01/1953 -0.77 -0.77 -0.77
07/01/1953 -0.77 -0.77 -0.77
08/01/1953 -0.77 -0.77 -0.77
09/01/1953 -0.77 -0.77 -0.77
10/01/1953 -0.77 -0.77 -0.77
11/01/1953 -0.77 -0.77 -0.77
12/01/1953 -0.77 -0.77 -0.77
01/01/1954 -0.74 -0.77 -0.77
02/01/1954 -0.74 -0.74 -0.77
03/01/1954 -0.73 -0.73 -0.73
04/01/1954 -0.73 -0.73 -0.73
05/01/1954 -0.73 -0.73 -0.73
06/01/1954 -0.73 -0.73 -0.73
07/01/1954 -0.73 -0.73 -0.73
08/01/1954 -0.73 -0.73 -0.73
09/01/1954 -0.73 -0.73 -0.73
10/01/1954 -0.73 -0.73 -0.73
11/01/1954 -0.73 -0.73 -0.73
12/01/1954 -0.74 -0.74 -0.74
01/01/1955 -0.71 -0.74 -0.74
02/01/1955 -0.71 -0.71 -0.74
03/01/1955 -0.7 -0.7 -0.7
04/01/1955 -0.7 -0.7 -0.7
05/01/1955 -0.7 -0.7 -0.7
06/01/1955 -0.7 -0.7 -0.7
07/01/1955 -0.7 -0.7 -0.7
08/01/1955 -0.7 -0.7 -0.7
09/01/1955 -0.7 -0.7 -0.7
10/01/1955 -0.7 -0.7 -0.7
11/01/1955 -0.7 -0.7 -0.7
12/01/1955 -0.7 -0.7 -0.7
01/01/1956 -0.67 -0.7 -0.7
02/01/1956 -0.67 -0.67 -0.7
03/01/1956 -0.66 -0.66 -0.66
04/01/1956 -0.66 -0.66 -0.66
05/01/1956 -0.66 -0.66 -0.66
06/01/1956 -0.66 -0.66 -0.66
07/01/1956 -0.66 -0.66 -0.66
08/01/1956 -0.66 -0.66 -0.66
09/01/1956 -0.66 -0.66 -0.66
10/01/1956 -0.66 -0.66 -0.66
11/01/1956 -0.66 -0.66 -0.66
12/01/1956 -0.66 -0.66 -0.66
01/01/1957 -0.63 -0.66 -0.66
02/01/1957 -0.63 -0.63 -0.66
03/01/1957 -0.63 -0.63 -0.63
04/01/1957 -0.63 -0.63 -0.63
05/01/1957 -0.63 -0.63 -0.63
06/01/1957 -0.63 -0.63 -0.63
07/01/1957 -0.63 -0.63 -0.63
08/01/1957 -0.63 -0.63 -0.63
09/01/1957 -0.63 -0.63 -0.63
10/01/1957 -0.63 -0.63 -0.63
11/01/1957 -0.63 -0.63 -0.63
12/01/1957 -0.63 -0.63 -0.63
01/01/1958 -0.6 -0.63 -0.63
02/01/1958 -0.6 -0.6 -0.63
03/01/1958 -0.59 -0.59 -0.59
04/01/1958 -0.59 -0.59 -0.59
05/01/1958 -0.59 -0.59 -0.59
06/01/1958 -0.59 -0.59 -0.59
07/01/1958 -0.59 -0.59 -0.59
08/01/1958 -0.59 -0.59 -0.59
09/01/1958 -0.59 -0.59 -0.59
10/01/1958 -0.59 -0.59 -0.59
11/01/1958 -0.59 -0.59 -0.59
12/01/1958 -0.59 -0.59 -0.59
01/01/1959 -0.57 -0.59 -0.59
02/01/1959 -0.57 -0.57 -0.59
03/01/1959 -0.56 -0.56 -0.56
04/01/1959 -0.56 -0.56 -0.56
05/01/1959 -0.56 -0.56 -0.56
06/01/1959 -0.56 -0.56 -0.56
07/01/1959 -0.56 -0.56 -0.56
08/01/1959 -0.56 -0.56 -0.56
09/01/1959 -0.56 -0.56 -0.56
10/01/1959 -0.56 -0.56 -0.56
11/01/1959 -0.56 -0.56 -0.56
12/01/1959 -0.56 -0.56 -0.56
01/01/1960 -0.54 -0.56 -0.56
02/01/1960 -0.54 -0.54 -0.56
03/01/1960 -0.53 -0.53 -0.53
04/01/1960 -0.53 -0.53 -0.53
05/01/1960 -0.53 -0.53 -0.53
06/01/1960 -0.53 -0.53 -0.53
07/01/1960 -0.53 -0.53 -0.53
08/01/1960 -0.53 -0.53 -0.53
09/01/1960 -0.53 -0.53 -0.53
10/01/1960 -0.53 -0.53 -0.53
11/01/1960 -0.53 -0.53 -0.53
12/01/1960 -0.53 -0.53 -0.53
01/01/1961 -0.5 -0.53 -0.53
02/01/1961 -0.5 -0.5 -0.53
03/01/1961 -0.5 -0.5 -0.5
04/01/1961 -0.5 -0.5 -0.5
05/01/1961 -0.5 -0.5 -0.5
06/01/1961 -0.5 -0.5 -0.5
07/01/1961 -0.5 -0.5 -0.5
08/01/1961 -0.5 -0.5 -0.5
09/01/1961 -0.5 -0.5 -0.5
10/01/1961 -0.5 -0.5 -0.5
11/01/1961 -0.5 -0.5 -0.5
12/01/1961 -0.5 -0.5 -0.5
01/01/1962 -0.48 -0.5 -0.5
02/01/1962 -0.48 -0.48 -0.5
03/01/1962 -0.47 -0.47 -0.47
04/01/1962 -0.47 -0.47 -0.47
05/01/1962 -0.47 -0.47 -0.47
06/01/1962 -0.47 -0.47 -0.47
07/01/1962 -0.47 -0.47 -0.47
08/01/1962 -0.47 -0.47 -0.47
09/01/1962 -0.47 -0.47 -0.47
10/01/1962 -0.47 -0.47 -0.47
11/01/1962 -0.47 -0.47 -0.47
12/01/1962 -0.47 -0.47 -0.47
01/01/1963 -0.45 -0.47 -0.47
02/01/1963 -0.45 -0.45 -0.47
03/01/1963 -0.44 -0.44 -0.44
04/01/1963 -0.44 -0.44 -0.44
05/01/1963 -0.44 -0.44 -0.44
06/01/1963 -0.44 -0.44 -0.44
07/01/1963 -0.44 -0.44 -0.44
08/01/1963 -0.44 -0.44 -0.44
09/01/1963 -0.44 -0.44 -0.44
10/01/1963 -0.44 -0.44 -0.44
11/01/1963 -0.44 -0.44 -0.44
12/01/1963 -0.44 -0.44 -0.44
01/01/1964 -0.42 -0.44 -0.44
02/01/1964 -0.42 -0.42 -0.44
03/01/1964 -0.42 -0.42 -0.42
04/01/1964 -0.42 -0.42 -0.42
05/01/1964 -0.42 -0.42 -0.42
06/01/1964 -0.42 -0.42 -0.42
07/01/1964 -0.42 -0.42 -0.42
08/01/1964 -0.42 -0.42 -0.42
09/01/1964 -0.42 -0.42 -0.42
10/01/1964 -0.42 -0.42 -0.42
11/01/1964 -0.42 -0.42 -0.42
12/01/1964 -0.42 -0.42 -0.42
01/01/1965 -0.4 -0.42 -0.42
02/01/1965 -0.4 -0.4 -0.42
03/01/1965 -0.39 -0.39 -0.39
04/01/1965 -0.39 -0.39 -0.39
05/01/1965 -0.39 -0.39 -0.39
06/01/1965 -0.39 -0.39 -0.39
07/01/1965 -0.39 -0.39 -0.39
08/01/1965 -0.39 -0.39 -0.39
09/01/1965 -0.39 -0.39 -0.39
10/01/1965 -0.39 -0.39 -0.39
11/01/1965 -0.39 -0.39 -0.39
12/01/1965 -0.39 -0.39 -0.39
01/01/1966 -0.37 -0.39 -0.39
02/01/1966 -0.37 -0.37 -0.39
03/01/1966 0.03 0.03 0.03
04/01/1966 0.03 0.03 0.03
05/01/1966 0.03 0.03 0.03
06/01/1966 0.03 0.03 0.03
07/01/1966 0.03 0.03 0.03
08/01/1966 0.03 0.03 0.03
09/01/1966 0.03 0.03 0.03
10/01/1966 0.03 0.03 0.03
11/01/1966 0.03 0.03 0.03
12/01/1966 0.03 0.03 0.03
01/01/1967 0.05 0.03 0.03
02/01/1967 0.05 0.05 0.03
03/01/1967 0.08 0.08 0.08
04/01/1967 0.08 0.08 0.08
05/01/1967 0.08 0.08 0.08
06/01/1967 0.08 0.08 0.08
07/01/1967 0.08 0.08 0.08
08/01/1967 0.08 0.08 0.08
09/01/1967 0.08 0.08 0.08
10/01/1967 0.08 0.08 0.08
11/01/1967 0.08 0.08 0.08
12/01/1967 0.08 0.08 0.08
01/01/1968 0.1 0.08 0.08
02/01/1968 0.1 0.1 0.08
03/01/1968 0.13 0.13 0.13
04/01/1968 0.13 0.13 0.13
05/01/1968 0.13 0.13 0.13
06/01/1968 0.13 0.13 0.13
07/01/1968 0.13 0.13 0.13
08/01/1968 0.13 0.13 0.13
09/01/1968 0.13 0.13 0.13
10/01/1968 0.13 0.13 0.13
11/01/1968 0.13 0.13 0.13
12/01/1968 0.13 0.13 0.13
01/01/1969 0.15 0.13 0.13
02/01/1969 0.15 0.15 0.13
03/01/1969 0.18 0.18 0.18
04/01/1969 0.18 0.18 0.18
05/01/1969 0.18 0.18 0.18
06/01/1969 0.18 0.18 0.18
07/01/1969 0.18 0.18 0.18
08/01/1969 0.18 0.18 0.18
09/01/1969 0.18 0.18 0.18
10/01/1969 0.18 0.18 0.18
11/01/1969 0.18 0.18 0.18
12/01/1969 0.18 0.18 0.18
01/01/1970 0.2 0.18 0.18
02/01/1970 0.2 0.2 0.18
03/01/1970 0.23 0.23 0.23
04/01/1970 0.23 0.23 0.23
05/01/1970 0.23 0.23 0.23
06/01/1970 0.23 0.23 0.23
07/01/1970 0.23 0.23 0.23
08/01/1970 0.23 0.23 0.23
09/01/1970 0.23 0.23 0.23
10/01/1970 0.23 0.23 0.23
11/01/1970 0.23 0.23 0.23
12/01/1970 0.23 0.23 0.23
01/01/1971 0.25 0.23 0.23
02/01/1971 0.25 0.25 0.23
03/01/1971 0.27 0.27 0.27
04/01/1971 0.27 0.27 0.27
05/01/1971 0.27 0.27 0.27
06/01/1971 0.27 0.27 0.27
07/01/1971 0.27 0.27 0.27
08/01/1971 0.27 0.27 0.27
09/01/1971 0.27 0.27 0.27
10/01/1971 0.27 0.27 0.27
11/01/1971 0.27 0.27 0.27
12/01/1971 0.27 0.27 0.27
01/01/1972 0.3 0.27 0.27
02/01/1972 0.3 0.3 0.27
03/01/1972 0.32 0.32 0.32
04/01/1972 0.32 0.32 0.32
05/01/1972 0.32 0.32 0.32
06/01/1972 0.32 0.32 0.32
07/01/1972 0.32 0.32 0.32
08/01/1972 0.32 0.32 0.32
09/01/1972 0.32 0.32 0.32
10/01/1972 0.32 0.32 0.32
11/01/1972 0.32 0.32 0.32
12/01/1972 0.32 0.32 0.32
01/01/1973 0.34 0.32 0.32
02/01/1973 0.34 0.34 0.32
03/01/1973 0.37 0.37 0.37
04/01/1973 0.37 0.37 0.37
05/01/1973 0.37 0.37 0.37
06/01/1973 0.37 0.37 0.37
07/01/1973 0.37 0.37 0.37
08/01/1973 0.37 0.37 0.37
09/01/1973 0.37 0.37 0.37
10/01/1973 0.37 0.37 0.37
11/01/1973 0.37 0.37 0.37
12/01/1973 0.37 0.37 0.37
01/01/1974 0.39 0.37 0.37
02/01/1974 0.39 0.39 0.37
03/01/1974 0.42 0.42 0.42
04/01/1974 0.42 0.42 0.42
05/01/1974 0.42 0.42 0.42
06/01/1974 0.42 0.42 0.42
07/01/1974 0.42 0.42 0.42
08/01/1974 0.42 0.42 0.42
09/01/1974 0.42 0.42 0.42
10/01/1974 0.42 0.42 0.42
11/01/1974 0.42 0.42 0.42
12/01/1974 0.42 0.42 0.42
01/01/1975 0.44 0.42 0.42
02/01/1975 0.44 0.44 0.42
03/01/1975 0.47 0.47 0.47
04/01/1975 0.47 0.47 0.47
05/01/1975 0.47 0.47 0.47
06/01/1975 0.47 0.47 0.47
07/01/1975 0.47 0.47 0.47
08/01/1975 0.47 0.47 0.47
09/01/1975 0.47 0.47 0.47
10/01/1975 0.47 0.47 0.47
11/01/1975 0.47 0.47 0.47
12/01/1975 0.47 0.47 0.47
01/01/1976 0.49 0.47 0.47
02/01/1976 0.49 0.49 0.47
03/01/1976 0.52 0.52 0.52
04/01/1976 0.52 0.52 0.52
05/01/1976 0.52 0.52 0.52
06/01/1976 0.52 0.52 0.52
07/01/1976 0.52 0.52 0.52
08/01/1976 0.52 0.52 0.52
09/01/1976 0.52 0.52 0.52
10/01/1976 0.52 0.52 0.52
11/01/1976 0.52 0.52 0.52
12/01/1976 0.52 0.52 0.52
01/01/1977 0.54 0.52 0.52
02/01/1977 0.54 0.54 0.52
03/01/1977 0.57 0.57 0.57
04/01/1977 0.57 0.57 0.57
05/01/1977 0.57 0.57 0.57
06/01/1977 0.57 0.57 0.57
07/01/1977 0.57 0.57 0.57
08/01/1977 0.57 0.57 0.57
09/01/1977 0.57 0.57 0.57
10/01/1977 0.57 0.57 0.57
11/01/1977 0.57 0.57 0.57
12/01/1977 0.57 0.57 0.57
01/01/1978 0.59 0.57 0.57
02/01/1978 0.59 0.59 0.57
03/01/1978 0.62 0.62 0.62
04/01/1978 0.62 0.62 0.62
05/01/1978 0.62 0.62 0.62
06/01/1978 0.62 0.62 0.62
07/01/1978 0.62 0.62 0.62
08/01/1978 0.62 0.62 0.62
09/01/1978 0.62 0.62 0.62
10/01/1978 0.62 0.62 0.62
11/01/1978 0.62 0.62 0.62
12/01/1978 0.62 0.62 0.62
01/01/1979 0.64 0.62 0.62
02/01/1979 0.64 0.64 0.62
03/01/1979 0.67 0.67 0.67
04/01/1979 0.67 0.67 0.67
05/01/1979 0.67 0.67 0.67
06/01/1979 0.67 0.67 0.67
07/01/1979 0.67 0.67 0.67
08/01/1979 0.67 0.67 0.67
09/01/1979 0.67 0.67 0.67
10/01/1979 0.67 0.67 0.67
11/01/1979 0.67 0.67 0.67
12/01/1979 0.67 0.67 0.67
01/01/1980 0.68 0.67 0.67
02/01/1980 0.68 0.68 0.67
03/01/1980 0.72 0.72 0.72
04/01/1980 0.72 0.72 0.72
05/01/1980 0.72 0.72 0.72
06/01/1980 0.72 0.72 0.72
07/01/1980 0.72 0.72 0.72
08/01/1980 0.72 0.72 0.72
09/01/1980 0.72 0.72 0.72
10/01/1980 0.72 0.72 0.72
11/01/1980 0.72 0.72 0.72
12/01/1980 0.72 0.72 0.72
01/01/1981 0.73 0.72 0.72
02/01/1981 0.73 0.73 0.72
03/01/1981 0.77 0.77 0.77
04/01/1981 0.77 0.77 0.77
05/01/1981 0.77 0.77 0.77
06/01/1981 0.77 0.77 0.77
07/01/1981 0.77 0.77 0.77
08/01/1981 0.77 0.77 0.77
09/01/1981 0.77 0.77 0.77
10/01/1981 0.77 0.77 0.77
11/01/1981 0.77 0.77 0.77
12/01/1981 0.77 0.77 0.77
01/01/1982 0.78 0.77 0.77
02/01/1982 0.78 0.78 0.77
03/01/1982 0.82 0.82 0.82
04/01/1982 0.82 0.82 0.82
05/01/1982 0.82 0.82 0.82
06/01/1982 0.82 0.82 0.82
07/01/1982 0.82 0.82 0.82
08/01/1982 0.82 0.82 0.82
09/01/1982 0.82 0.82 0.82
10/01/1982 0.82 0.82 0.82
11/01/1982 0.82 0.82 0.82
12/01/1982 0.82 0.82 0.82
01/01/1983 0.83 0.82 0.82
02/01/1983 0.83 0.83 0.82
03/01/1983 0.87 0.87 0.87
04/01/1983 0.87 0.87 0.87
05/01/1983 0.87 0.87 0.87
06/01/1983 0.87 0.87 0.87
07/01/1983 0.87 0.87 0.87
08/01/1983 0.87 0.87 0.87
09/01/1983 0.87 0.87 0.87
10/01/1983 0.87 0.87 0.87
11/01/1983 0.87 0.87 0.87
12/01/1983 0.87 0.87 0.87
01/01/1984 0.88 0.87 0.87
02/01/1984 0.88 0.88 0.87
03/01/1984 0.92 0.92 0.92
04/01/1984 0.92 0.92 0.92
05/01/1984 0.92 0.92 0.92
06/01/1984 0.92 0.92 0.92
07/01/1984 0.92 0.92 0.92
08/01/1984 0.92 0.92 0.92
09/01/1984 0.92 0.92 0.92
10/01/1984 0.92 0.92 0.92
11/01/1984 0.92 0.92 0.92
12/01/1984 0.92 0.92 0.92
01/01/1985 0.93 0.92 0.92
02/01/1985 0.93 0.93 0.92
03/01/1985 0.97 0.97 0.97
04/01/1985 0.97 0.97 0.97
05/01/1985 0.97 0.97 0.97
06/01/1985 0.97 0.97 0.97
07/01/1985 0.97 0.97 0.97
08/01/1985 0.97 0.97 0.97
09/01/1985 0.97 0.97 0.97
10/01/1985 0.97 0.97 0.97
11/01/1985 0.97 0.97 0.97
12/01/1985 0.97 0.97 0.97
01/01/1986 0.98 0.97 0.97
02/01/1986 0.98 0.98 0.97
03/01/1986 1.01 1.01 1.01
04/01/1986 1.01 1.01 1.01
05/01/1986 1.01 1.01 1.01
06/01/1986 1.01 1.01 1.01
07/01/1986 1.01 1.01 1.01
08/01/1986 1.01 1.01 1.01
